,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hot_water_heating,airconditioning,parking,prefarea,furnishing_status_furnished,furnishing_status_semi-furnished,furnishing_status_unfurnished,furnishing_status_unknown,price
501,3800.0,3.0,1.0,2.0,1,1,1,0,0,1.0,1,False,False,True,False,5250000.0
442,8801.0,3.0,2.0,2.0,1,0,0,0,1,2.0,0,True,False,False,False,8575000.0
37,6400.0,3.0,1.0,1.0,1,1,1,0,1,1.0,1,False,True,False,False,6300000.0
88,6670.0,3.0,1.0,3.0,1,0,1,0,0,0.0,1,False,False,True,False,6510000.0
656,3540.0,2.0,1.0,1.0,0,1,1,0,0,0.0,0,False,True,False,False,5040000.0
362,7155.0,3.0,1.0,2.0,1,1,1,0,1,2.0,0,False,False,True,False,8680000.0
748,3620.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,False,False,True,False,1750000.0
259,7475.0,3.0,1.0,4.0,1,0,0,0,1,2.0,0,False,False,True,False,8400000.0
777,6541.0,4.0,3.0,2.0,1,1,1,0,1,2.0,1,True,False,False,False,8540000.0
110,7681.0,4.0,2.0,4.0,1,1,0,0,1,1.0,0,False,True,False,False,7210000.0
628,6000.0,4.0,2.0,4.0,1,0,0,0,0,1.0,0,False,True,False,False,6300000.0
260,6900.0,3.0,1.0,1.0,1,1,1,0,0,0.0,1,False,True,False,False,5523000.0
284,5751.0,3.0,2.0,4.0,1,1,0,0,1,1.0,1,False,False,True,False,9800000.0
214,7424.0,3.0,1.0,1.0,0,0,0,0,0,0.0,0,False,False,True,False,3500000.0
487,6000.0,4.0,3.0,2.0,1,0,0,0,1,1.0,1,False,False,False,True,8295000.0
458,3990.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,False,True,False,False,3500000.0
99,5360.0,3.0,1.0,2.0,1,0,0,0,0,2.0,1,False,False,True,False,4550000.0
558,3660.0,3.0,1.0,2.0,0,0,0,0,0,0.0,0,False,False,True,False,2940000.0
175,8100.0,2.0,1.0,1.0,1,0,0,0,0,1.0,0,False,False,True,False,3087000.0
311,4100.0,3.0,2.0,3.0,1,0,0,0,1,2.0,0,False,True,False,False,6300000.0
778,3520.0,3.0,1.0,2.0,1,0,0,0,0,0.0,1,False,True,False,False,4200000.0
177,2000.0,2.0,1.0,2.0,1,0,0,0,0,0.0,0,False,True,False,False,2660000.0
339,3300.0,3.0,3.0,2.0,1,0,1,0,0,0.0,0,False,True,False,False,5530000.0
759,3480.0,3.0,1.0,1.0,0,0,0,0,1,0.0,0,False,False,True,False,3500000.0
288,3180.0,4.0,2.0,2.0,1,0,0,0,0,0.0,0,True,False,False,False,3885000.0
806,3750.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,False,False,True,False,3010000.0
642,6600.0,3.0,1.0,1.0,1,1,1,0,0,2.0,1,False,True,False,False,6090000.0
126,3960.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,True,False,False,False,2800000.0
438,8000.0,3.0,1.0,1.0,1,1,1,0,1,2.0,1,False,True,False,False,6020000.0
56,5200.0,3.0,1.0,3.0,1,0,0,0,1,0.0,0,False,True,False,False,5810000.0
133,4050.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,True,False,False,False,3710000.0
109,2910.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0,False,False,True,False,2604000.0
392,7420.0,4.0,1.0,2.0,1,1,1,0,1,2.0,0,True,False,False,False,11410000.0
788,7801.0,3.0,2.0,2.0,1,0,0,0,0,0.0,1,False,True,False,False,9240000.0
751,10500.0,3.0,2.0,1.0,1,0,1,0,1,1.0,1,True,False,False,False,6615000.0
206,13200.0,2.0,1.0,1.0,1,0,1,1,0,1.0,0,True,False,False,False,6930000.0
800,3600.0,3.0,1.0,1.0,1,0,1,0,1,0.0,1,True,False,False,False,4098500.0
674,5000.0,3.0,1.0,4.0,1,0,0,0,0,0.0,0,True,False,False,False,5600000.0
670,6720.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,False,False,True,False,4900000.0
70,3930.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0,False,False,True,False,3255000.0
164,5400.0,4.0,1.0,2.0,1,0,0,0,0,0.0,0,False,True,False,False,4900000.0
404,3000.0,3.0,1.0,2.0,1,0,1,0,0,0.0,0,False,False,True,False,5110000.0
201,6450.0,3.0,2.0,1.0,1,1,1,1,0,0.0,0,False,False,True,False,5383000.0
34,2475.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,True,False,False,False,2380000.0
118,7483.0,3.0,3.0,3.0,1,0,0,1,0,1.0,1,True,False,False,False,8043000.0
518,5000.0,3.0,1.0,3.0,1,0,0,0,1,0.0,0,False,True,False,False,5740000.0
482,2400.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,False,False,True,False,2100000.0
278,6100.0,3.0,1.0,3.0,1,1,0,0,1,0.0,1,False,True,False,False,5460000.0
668,16200.0,3.0,3.0,2.0,1,0,0,0,0,0.0,0,False,False,True,False,10150000.0
357,3630.0,2.0,1.0,1.0,1,0,1,0,0,0.0,0,True,False,False,False,3675000.0
181,8400.0,4.0,1.0,2.0,1,0,0,0,0,3.0,0,False,False,True,False,4550000.0
676,4500.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0,False,True,False,False,3255000.0
426,6000.0,3.0,2.0,2.0,1,1,0,0,1,1.0,0,False,True,False,False,7350000.0
650,2398.0,3.0,1.0,1.0,1,0,0,0,0,0.0,1,False,True,False,False,3118850.0
553,5880.0,3.0,1.0,1.0,1,0,0,0,0,1.0,0,False,False,True,False,3290000.0
602,4040.0,2.0,1.0,1.0,1,0,0,0,0,1.0,0,False,False,True,False,3325000.0
69,3792.0,4.0,1.0,2.0,1,0,0,0,0,0.0,0,False,True,False,False,3290000.0
22,4560.0,3.0,3.0,2.0,1,1,1,0,1,1.0,0,True,False,False,False,8645000.0
771,5020.0,3.0,1.0,4.0,1,0,0,0,1,0.0,1,False,False,True,False,6720000.0
343,3450.0,1.0,1.0,1.0,1,0,0,0,0,0.0,0,True,False,False,False,3150000.0
746,15600.0,3.0,1.0,1.0,1,0,0,0,1,2.0,0,False,True,False,False,5943000.0
573,4601.0,3.0,2.0,2.0,1,1,0,0,1,2.0,0,True,False,False,False,8890000.0
644,6600.0,3.0,2.0,2.0,1,1,1,0,1,1.0,1,False,False,True,False,9100000.0
604,4160.0,3.0,1.0,3.0,1,0,0,0,0,0.0,0,False,False,True,False,4830000.0
223,6600.0,2.0,2.0,4.0,1,0,1,0,0,0.0,1,True,False,False,False,6685000.0
45,2430.0,3.0,1.0,1.0,0,0,0,0,0,0.0,0,False,False,True,False,2660000.0
212,4360.0,4.0,1.0,2.0,1,0,0,0,0,0.0,0,True,False,False,False,4270000.0
255,6540.0,4.0,2.0,2.0,1,1,1,0,1,2.0,1,True,False,False,False,8540000.0
291,3512.0,2.0,1.0,1.0,1,0,0,0,0,1.0,1,False,False,True,False,3500000.0
654,6420.0,3.0,2.0,3.0,1,0,0,0,1,0.0,1,True,False,False,False,6650000.0
646,4800.0,2.0,1.0,1.0,1,1,0,0,0,0.0,0,False,False,False,True,5033000.0
130,6420.0,3.0,3.0,2.0,1,0,0,0,1,1.0,1,False,True,False,False,8855000.0
792,8580.0,5.0,3.0,2.0,1,0,0,0,0,2.0,0,True,False,False,False,6440000.0
82,3120.0,3.0,1.0,2.0,0,0,0,0,0,0.0,0,True,False,False,False,3220000.0
346,4100.0,2.0,2.0,1.0,1,1,1,0,0,0.0,0,False,True,False,False,4543000.0
612,5040.0,3.0,1.0,2.0,1,0,1,0,1,0.0,0,False,False,True,False,4200000.0
492,7440.0,3.0,2.0,4.0,1,0,0,0,0,1.0,1,False,False,True,False,7420000.0
21,2800.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,False,False,True,False,2660000.0
0,4990.0,4.0,2.0,2.0,1,1,1,0,0,0.0,1,True,False,False,False,4543000.0
793,7000.0,3.0,1.0,2.0,1,0,1,0,0,0.0,0,False,False,True,False,4795000.0
334,2787.0,4.0,2.0,2.0,1,0,0,0,0,0.0,0,True,False,False,False,2380000.0
383,3650.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,False,False,True,False,3500000.0
515,3000.0,2.0,1.0,2.0,1,0,0,0,1,0.0,0,True,False,False,False,3640000.0
80,4130.0,3.0,2.0,2.0,1,0,0,0,0,2.0,0,False,True,False,False,3640000.0
233,3450.0,3.0,1.0,1.0,1,0,1,0,0,2.0,0,False,False,True,False,3395000.0
414,8800.0,3.0,2.0,2.0,1,0,0,0,1,2.0,0,True,False,False,False,8575000.0
23,6541.0,4.0,2.0,2.0,1,1,1,0,1,2.0,1,True,False,False,False,8540000.0
531,3630.0,3.0,1.0,2.0,1,0,0,0,0,2.0,0,False,True,False,False,4690000.0
63,6840.0,5.0,1.0,2.0,1,1,1,0,1,1.0,0,True,False,False,False,8120000.0
672,6600.0,3.0,1.0,4.0,1,0,0,0,1,3.0,1,True,False,False,False,7490000.0
580,3410.0,3.0,1.0,2.0,0,0,0,0,0,0.0,0,False,True,False,False,5145000.0
264,4500.0,3.0,2.0,2.0,0,0,1,0,1,0.0,0,False,True,False,False,3990000.0
298,2700.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0,True,False,False,False,2940000.0
195,6001.0,4.0,2.0,2.0,1,0,1,0,0,2.0,0,False,True,False,False,9100000.0
472,6480.0,3.0,2.0,4.0,1,0,0,0,1,2.0,0,False,False,True,False,7700000.0
208,10360.0,2.0,1.0,1.0,1,0,0,0,0,1.0,1,False,True,False,False,4305000.0
795,6001.0,3.0,1.0,4.0,1,1,0,0,1,2.0,0,False,False,True,False,7962500.0
465,6615.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,False,True,False,False,2940000.0
638,3150.0,2.0,2.0,1.0,0,0,1,0,0,0.0,0,False,True,False,False,3815000.0
36,6100.0,3.0,1.0,1.0,1,0,1,0,0,0.0,1,False,False,False,True,5110000.0
66,8400.0,4.0,1.0,4.0,1,0,0,0,0,3.0,0,False,False,True,False,4550000.0
729,6000.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,True,False,False,False,3703000.0
142,8520.0,3.0,1.0,1.0,1,0,0,0,1,2.0,0,True,False,False,False,5250000.0
299,7000.0,3.0,1.0,1.0,1,0,0,0,0,3.0,0,True,False,False,False,4200000.0
591,6240.0,4.0,2.0,2.0,1,0,0,0,1,1.0,0,True,False,False,False,7070000.0
707,3000.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,False,True,False,False,3920000.0
681,7800.0,3.0,3.0,2.0,1,0,0,0,0,0.0,1,False,True,False,False,9240000.0
140,5450.0,4.0,2.0,1.0,1,0,1,0,1,0.0,1,False,True,False,False,6160000.0
200,3480.0,3.0,1.0,2.0,0,0,0,0,0,1.0,0,False,True,False,False,2940000.0
714,6000.0,4.0,2.0,4.0,1,0,0,0,1,1.0,0,True,False,False,False,7560000.0
234,10700.0,3.0,1.0,2.0,1,1,1,0,0,0.0,0,False,True,False,False,5040000.0
95,6000.0,4.0,1.0,2.0,1,0,1,0,0,2.0,0,False,True,False,False,9100000.0
505,4000.0,3.0,2.0,2.0,1,0,1,0,1,0.0,1,False,True,False,False,6790000.0
490,2400.0,3.0,1.0,1.0,1,0,0,0,0,0.0,0,False,True,False,False,1767150.0
500,6001.0,3.0,2.0,4.0,1,1,1,0,1,0.0,1,False,True,False,False,8463000.0
555,7420.0,3.0,1.0,2.0,1,1,0,0,1,2.0,0,True,False,False,False,11410000.0
548,7475.0,3.0,3.0,4.0,1,0,0,0,1,2.0,0,False,False,True,False,8400000.0
559,2500.0,2.0,1.0,1.0,0,0,0,0,1,0.0,0,False,False,True,False,3290000.0
86,7440.0,3.0,2.0,4.0,1,0,0,0,0,1.0,0,False,False,True,False,7420000.0
107,4000.0,3.0,1.0,2.0,1,0,1,0,1,0.0,1,False,True,False,False,6790000.0
787,11460.0,3.0,1.0,3.0,1,0,0,0,0,2.0,1,False,True,False,False,5873000.0
578,4960.0,2.0,1.0,1.0,1,0,1,0,1,0.0,0,False,False,True,False,3080000.0
480,3520.0,3.0,1.0,1.0,1,0,0,0,0,0.0,1,False,True,False,False,4550000.0
226,3640.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,False,False,True,False,3570000.0
165,7001.0,3.0,2.0,4.0,1,0,0,0,1,2.0,0,False,True,False,False,8400000.0
26,3960.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,True,False,False,False,3990000.0
655,6420.0,3.0,1.0,3.0,1,0,1,0,0,0.0,1,False,False,True,False,6125000.0
428,3640.0,3.0,1.0,2.0,1,0,0,0,1,0.0,0,True,False,False,False,4550000.0
266,2970.0,3.0,1.0,3.0,1,0,0,0,0,0.0,0,False,True,False,False,4900000.0
499,6450.0,4.0,1.0,2.0,1,0,0,0,0,0.0,0,False,True,False,False,4340000.0
782,3480.0,2.0,1.0,1.0,1,0,0,0,0,0.0,1,False,True,False,False,3745000.0
736,8500.0,3.0,2.0,4.0,1,0,0,0,1,2.0,0,True,False,False,False,8960000.0
429,4840.0,3.0,1.0,2.0,1,0,0,0,0,1.0,0,False,True,False,False,4165000.0
65,8051.0,3.0,1.0,1.0,1,1,1,0,1,1.0,0,True,False,False,False,8645000.0
412,5960.0,3.0,1.0,2.0,1,1,1,0,0,0.0,0,False,False,True,False,3640000.0
394,8881.0,2.0,1.0,1.0,1,0,0,0,1,1.0,0,False,True,False,False,7070000.0
322,6361.0,3.0,2.0,3.0,1,0,0,0,1,2.0,1,True,False,False,False,7035000.0
544,7686.0,3.0,1.0,1.0,1,1,1,1,0,0.0,0,False,True,False,False,4970000.0
507,7441.0,3.0,2.0,1.0,1,1,1,0,1,0.0,1,False,True,False,False,7420000.0
405,2880.0,3.0,1.0,2.0,1,0,0,0,0,0.0,1,False,True,False,False,4403000.0
731,7085.0,3.0,1.0,1.0,1,1,1,0,0,2.0,1,False,True,False,False,5229000.0
639,8372.0,3.0,1.0,3.0,1,0,0,0,1,2.0,0,False,False,True,False,6090000.0
349,3185.0,2.0,1.0,1.0,1,0,0,0,0,2.0,0,False,False,True,False,3430000.0
296,3500.0,2.0,1.0,1.0,1,1,0,0,0,0.0,0,False,False,True,False,2450000.0
122,5880.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,False,False,True,False,3500000.0
135,3850.0,3.0,1.0,2.0,1,0,0,0,0,0.0,0,False,False,True,False,1750000.0
47,2850.0,3.0,2.0,2.0,0,0,1,0,0,0.0,1,False,False,True,False,3640000.0
535,4600.0,3.0,2.0,2.0,1,0,0,0,1,1.0,0,False,True,False,False,4200000.0
68,3000.0,3.0,1.0,1.0,0,0,0,0,1,0.0,0,False,False,True,False,3115000.0
556,4800.0,5.0,2.0,3.0,0,0,1,1,0,0.0,0,False,False,True,False,5600000.0
712,6540.0,3.0,1.0,1.0,1,1,1,0,0,2.0,1,True,False,False,False,5950000.0
377,5500.0,3.0,2.0,2.0,1,0,0,0,0,1.0,0,False,True,False,False,5600000.0
197,7350.0,2.0,1.0,1.0,1,0,0,0,0,1.0,0,False,True,False,False,3500000.0
572,3500.0,4.0,1.0,2.0,1,0,0,0,1,2.0,0,False,False,True,False,3360000.0
280,6000.0,4.0,4.0,2.0,1,1,1,1,0,2.0,0,False,True,False,False,9681000.0
651,6825.0,3.0,1.0,1.0,1,1,1,0,1,0.0,1,False,True,False,False,5425000.0
489,4500.0,2.0,1.0,1.0,1,0,0,0,1,2.0,0,True,False,False,False,4270000.0
767,3520.0,2.0,1.0,2.0,1,0,0,0,0,0.0,1,True,False,False,False,4515000.0
321,4095.0,3.0,1.0,2.0,0,1,1,0,1,0.0,0,False,True,False,False,4900000.0
641,6500.0,3.0,2.0,3.0,1,0,0,0,1,0.0,1,True,False,False,False,6650000.0
722,3185.0,2.0,1.0,1.0,1,0,0,0,1,0.0,0,False,False,True,False,2653000.0
238,4770.0,3.0,1.0,1.0,1,1,1,0,0,0.0,0,False,True,False,False,4900000.0
434,6601.0,4.0,2.0,2.0,1,1,1,0,1,1.0,1,False,False,True,False,9100000.0
386,9000.0,3.0,1.0,2.0,1,0,0,0,0,2.0,0,False,True,False,False,3150000.0
589,3720.0,2.0,1.0,1.0,0,0,0,0,1,0.0,0,False,False,True,False,3360000.0
514,2856.0,3.0,1.0,3.0,1,0,0,0,0,0.0,1,True,False,False,False,3780000.0
640,3180.0,3.0,2.0,2.0,1,0,0,0,0,2.0,0,False,True,False,False,5215000.0
417,6525.0,3.0,2.0,4.0,1,0,0,0,0,1.0,0,True,False,False,False,5950000.0
421,7476.0,3.0,3.0,4.0,1,0,0,0,1,2.0,0,False,False,True,False,8400000.0
688,8050.0,3.0,2.0,1.0,1,1,1,0,1,1.0,0,True,False,False,False,8645000.0
18,9166.0,2.0,1.0,1.0,1,0,1,0,1,2.0,0,False,True,False,False,4760000.0
28,3000.0,2.0,1.0,2.0,1,0,0,0,0,0.0,0,False,True,False,False,2961000.0
390,3570.0,3.0,1.0,2.0,1,0,1,0,0,0.0,0,False,True,False,False,3640000.0
696,4800.0,3.0,2.0,4.0,1,1,0,0,1,0.0,0,True,False,False,False,6405000.0
520,2145.0,3.0,1.0,2.0,1,0,1,0,0,0.0,1,True,False,False,False,3332000.0
665,5500.0,4.0,1.0,2.0,1,1,1,0,0,0.0,0,False,True,False,False,3920000.0
237,3460.0,3.0,2.0,1.0,1,0,1,0,1,1.0,0,True,False,False,False,4025000.0
551,4320.0,3.0,1.0,1.0,0,0,0,0,0,1.0,0,False,False,True,False,3220000.0
516,3000.0,2.0,1.0,2.0,1,0,0,0,0,0.0,0,True,False,False,False,2520000.0
194,3850.0,3.0,1.0,1.0,1,0,0,0,0,2.0,0,False,False,True,False,3535000.0
297,4080.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,False,True,False,False,3850000.0
494,5500.0,3.0,1.0,3.0,1,0,0,0,0,1.0,1,False,False,False,True,6230000.0
752,6421.0,3.0,2.0,2.0,1,0,0,0,1,1.0,1,False,True,False,False,8855000.0
98,6670.0,3.0,1.0,3.0,1,0,1,0,0,0.0,1,True,False,False,False,6510000.0
455,3480.0,2.0,1.0,1.0,1,0,0,0,0,0.0,0,False,True,False,False,3745000.0
244,7441.0,3.0,2.0,4.0,1,0,0,0,0,1.0,1,False,False,True,False,7420000.0
471,4800.0,3.0,1.0,4.0,1,1,0,0,1,0.0,0,True,False,False,False,6405000.0
738,4320.0,3.0,1.0,1.0,1,0,0,0,0,0.0,1,False,True,False,False,4690000.0
779,5850.0,2.0,1.0,1.0,1,1,1,0,0,2.0,0,False,True,False,False,4200000.0
621,6000.0,4.0,3.0,2.0,1,1,1,1,0,2.0,0,False,True,False,False,9681000.0
310,3210.0,3.0,1.0,2.0,1,0,1,0,0,0.0,0,False,False,True,False,2450000.0
543,5961.0,3.0,4.0,2.0,1,1,1,0,0,1.0,0,True,False,False,False,8190000.0
662,7160.0,3.0,1.0,1.0,1,0,1,0,0,2.0,1,False,False,True,False,5880000.0
582,4500.0,4.0,2.0,2.0,1,0,1,0,0,2.0,0,True,False,False,False,3570000.0
